mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.31333389282226565,0.010543772988494642,0.04130105972290039,0.004044323043606815,200,3,2,15,"{'n_estimators': 200, 'min_samples_leaf': 3, 'max_features': 2, 'max_depth': 15}",0.7977433400256679,0.7789657622394012,0.6740920474748291,0.8055429701618341,0.7265617976283021,0.7565811835060068,0.04959489921069713,5
0.2570820331573486,0.005981653785235287,0.03660674095153808,0.000865423913757137,200,1,1,10,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 1, 'max_depth': 10}",0.7949331762062304,0.7982149279276307,0.6593431053681378,0.8164487897018823,0.7065847298747936,0.755104945815735,0.06120844241985089,6
0.14189329147338867,0.0018072705058353041,0.021196794509887696,0.0007709811660770722,100,2,1,15,"{'n_estimators': 100, 'min_samples_leaf': 2, 'max_features': 1, 'max_depth': 15}",0.7988422335028035,0.7734013987377409,0.6624763695704332,0.8076609458667605,0.6975137045666995,0.7479789304488874,0.05771091299902564,7
0.19879670143127443,0.0026685961719185368,0.02470402717590332,0.000763514084779959,100,1,2,15,"{'n_estimators': 100, 'min_samples_leaf': 1, 'max_features': 2, 'max_depth': 15}",0.8218193382330192,0.8072396150716821,0.6556405159658413,0.8300793258041013,0.7363890159537558,0.7702335622056798,0.06616505907995053,2
0.11895389556884765,0.0006427603303593108,0.018314027786254884,0.0002476639411049354,100,3,1,10,"{'n_estimators': 100, 'min_samples_leaf': 3, 'max_features': 1, 'max_depth': 10}",0.783976225883459,0.7618767346828773,0.642841697780717,0.7756989187454797,0.6934388503297917,0.731566485484465,0.05466071400239985,9
0.39279975891113283,0.007428145189120197,0.046823740005493164,0.001479033355580665,200,1,2,15,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 2, 'max_depth': 15}",0.8142576092083498,0.8108348440332119,0.6610074517380911,0.8334069311494913,0.7394506708489293,0.7717915013956147,0.0639425509028294,1
0.28011345863342285,0.0015767060512669455,0.03543157577514648,0.0005865178340255426,200,2,2,10,"{'n_estimators': 200, 'min_samples_leaf': 2, 'max_features': 2, 'max_depth': 10}",0.8002748706559302,0.7886426246587432,0.6613418807918876,0.8126581041497112,0.7272112654982276,0.7580257491508998,0.056576281868234074,3
0.12864551544189454,0.0009124579809676957,0.01949200630187988,0.0002289919588290972,100,1,1,10,"{'n_estimators': 100, 'min_samples_leaf': 1, 'max_features': 1, 'max_depth': 10}",0.7956844830489784,0.8004237790734829,0.658842540671366,0.8200237471473184,0.710198088357636,0.7570345276597564,0.06193449170973169,4
0.12617383003234864,0.004398278118931461,0.017842864990234374,0.0017898645000892104,100,2,2,7,"{'n_estimators': 100, 'min_samples_leaf': 2, 'max_features': 2, 'max_depth': 7}",0.7913609917978109,0.7600002483754473,0.6359647254937156,0.7921802973677292,0.7038351529228868,0.7366682831915179,0.059726840981535856,8
0.23432912826538085,0.0018786459236814154,0.03488163948059082,0.0008549782980667547,200,3,1,10,"{'n_estimators': 200, 'min_samples_leaf': 3, 'max_features': 1, 'max_depth': 10}",0.7803546774073508,0.758479732672425,0.6438563616818798,0.7746525150806098,0.6909082434375184,0.7296503060559567,0.053458051287839085,10
